2011,LV GXXGC,"2.5 litre, B5254T I5 20v DOHC VVT Turbo MPFI {224KW}","09/10~06/12,RS,2D,Hatch,FWD,MT,[GERMANY],"
2011,LV PXXGC,"1.6 litre, HXDA I4 16v DOHC MPFI {74KW}","06/08~06/11,4D,Hatch,FWD,AT/MT,[GERMANY],"
2011,LV PXXGC,"2.0 litre, 2.0L DURATEC I4 16v DOHC MPFI {107KW}","06/08~06/11,4D,Hatch,FWD,AT/MT,[GERMANY],"
2011,LV PXXGC,"2.5 litre, B5254T I5 20v DOHC VVT Turbo MPFI {166KW}","06/08~06/11,XR5 TURBO,4D,Hatch,FWD,MT,[GERMANY],"
2011,LV TXXMJ,"2.0 litre, A0DA I4 16v DOHC MPFI {107KW}","04/09~06/11,4D,Sedan,FWD,AT/MT,[SOUTH AFRICA],"
2011,LV UXXMJ,"2.0 litre, DIESEL, D4204T I4 16v DOHC Turbo CRD {100KW}","07/07~06/11,TDCi,4D,Hatch,FWD,MT/DCT,[SOUTH AFRICA],"
2011,LV UXXMJ,"2.0 litre, A0DA I4 16v DOHC MPFI {107KW}","04/09~06/11,4D,Hatch,FWD,AT/MT,[SOUTH AFRICA],"
2011,LW KXXGC,"1.6 litre, PNDA DURATEC I4 16v DOHC VVT Direct Inj {92KW}","07/11~06/12,AMBIENTE,4D,Hatch,FWD,MT/DCT,[GERMANY],"
2011,LW KXXGC,"2.0 litre, DIESEL, TXDB DURATORQ I4 16v DOHC Turbo CRD {120KW}","07/11~06/12,4D,Hatch,FWD,MT,[GERMANY],"
2011,LW KXXGC,"2.0 litre, MGDA DURATEC I4 16v DOHC VVT Direct Inj {125KW}","07/11~06/12,4D,Hatch,FWD,MT/DCT,[GERMANY],"
2011,LW MXXGC,"1.6 litre, PNDA DURATEC I4 16v DOHC VVT Direct Inj {92KW}","11/11~06/12,AMBIENTE,4D,Sedan,FWD,MT/DCT,[GERMANY],"
2011,LW MXXGC,"2.0 litre, DIESEL, TXDB DURATORQ I4 16v DOHC Turbo CRD {120KW}","07/11~06/12,4D,Sedan,FWD,MT,[GERMANY],"
2011,LW MXXGC,"2.0 litre, MGDA DURATEC I4 16v DOHC VVT Direct Inj {125KW}","07/11~06/12,4D,Sedan,FWD,MT/DCT,[GERMANY],"
2010,LT TXXMJ,"2.0 litre, DIESEL, D4204T I4 16v DOHC Turbo CRD {100KW}","07/07~06/11,2D,Sedan,FWD,MT/DCT,[SOUTH AFRICA],"
2010,LT UXXMJ,"2.0 litre, DIESEL, D4204T I4 16v DOHC Turbo CRD {100KW}","07/07~06/11,TDCi,4D,Hatch,FWD,MT/DCT,[SOUTH AFRICA],"
2010,LT XXXLU,"2.0 litre, A0DA DURATEC I4 16v DOHC MPFI {107KW}","11/07~05/10,COUPE-CABRIOLET,2D,Conve,FWD,AT/MT,[GERMANY],"
2010,LV GXXGC,"2.5 litre, B5254T I5 20v DOHC VVT Turbo MPFI {224KW}","09/10~06/12,RS,2D,Hatch,FWD,MT,[GERMANY],"
2010,LV PXXGC,"1.6 litre, HXDA I4 16v DOHC MPFI {74KW}","06/08~06/11,4D,Hatch,FWD,AT/MT,[GERMANY],"
2010,LV PXXGC,"2.0 litre, 2.0L DURATEC I4 16v DOHC MPFI {107KW}","06/08~06/11,4D,Hatch,FWD,AT/MT,[GERMANY],"
2010,LV PXXGC,"2.5 litre, B5254T I5 20v DOHC VVT Turbo MPFI {166KW}","06/08~06/11,XR5 TURBO,4D,Hatch,FWD,MT,[GERMANY],"
2010,LV TXXMJ,"2.0 litre, A0DA I4 16v DOHC MPFI {107KW}","04/09~06/11,4D,Sedan,FWD,AT/MT,[SOUTH AFRICA],"
2010,LV UXXMJ,"2.0 litre, DIESEL, D4204T I4 16v DOHC Turbo CRD {100KW}","07/07~06/11,TDCi,4D,Hatch,FWD,MT/DCT,[SOUTH AFRICA],"
2010,LV UXXMJ,"2.0 litre, A0DA I4 16v DOHC MPFI {107KW}","04/09~06/11,4D,Hatch,FWD,AT/MT,[SOUTH AFRICA],"
2009,LS CXXMJ,"2.0 litre, 2.0L DURATEC I4 16v DOHC MPFI {107KW}","05/05~03/09,4D,Sedan,FWD,AT/MT,[SOUTH AFRICA],"
2009,LS DXXMJ,"2.0 litre, 2.0L DURATEC I4 16v DOHC MPFI {107KW}","05/05~03/09,4D,Hatch,FWD,AT/MT,[SOUTH AFRICA],"
2009,LT CXXMJ,"2.0 litre, 2.0L DURATEC I4 16v DOHC MPFI {107KW}","05/05~03/09,4D,Sedan,FWD,AT/MT,[SOUTH AFRICA],"
2009,LT DXXMJ,"2.0 litre, DIESEL, D4204T I4 16v DOHC Turbo CRD {100KW}","07/07~03/09,TDCI,4D,Hatch,FWD,MT,[SOUTH AFRICA],"
2009,LT DXXMJ,"2.0 litre, 2.0L DURATEC I4 16v DOHC MPFI {107KW}","05/05~03/09,4D,Hatch,FWD,AT/MT,[SOUTH AFRICA],"
2009,LT TXXMJ,"2.0 litre, DIESEL, D4204T I4 16v DOHC Turbo CRD {100KW}","07/07~06/11,2D,Sedan,FWD,MT/DCT,[SOUTH AFRICA],"
2009,LT UXXMJ,"2.0 litre, DIESEL, D4204T I4 16v DOHC Turbo CRD {100KW}","07/07~06/11,TDCi,4D,Hatch,FWD,MT/DCT,[SOUTH AFRICA],"
2009,LT XXXLU,"2.0 litre, A0DA DURATEC I4 16v DOHC MPFI {107KW}","11/07~05/10,COUPE-CABRIOLET,2D,Conve,FWD,AT/MT,[GERMANY],"
2009,LV DXXMJ,"2.0 litre, DIESEL, D4204T I4 16v DOHC Turbo CRD {100KW}","07/07~03/09,TDCI,4D,Hatch,FWD,MT,[SOUTH AFRICA],"
2009,LV PXXGC,"1.6 litre, HXDA I4 16v DOHC MPFI {74KW}","06/08~06/11,4D,Hatch,FWD,AT/MT,[GERMANY],"
